mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	11/8	12/8	2	1	F.I					F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	13	0.0	0.0	1.75	0.0
2	1	9/8	9/8	12/8	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.75	0.0
3	2	0	0	12/8	2	1	V					F	I		V	V							M	0	0	0, 4, 1		0	0	2	2	0.5	0.25	0.5	0.3333333333333333
3	2	3/8	3/8	12/8	2	1	V7					F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	1	3	0.25	0.125	0.625	0.16666666666666666
3	2	3/4	3/4	12/8	2	1	I					F	I		I	I							M	0	0	-1, 3, 0		-1	-1	1	4	0.2	0.125	0.625	0.16666666666666666
3	2	9/8	9/8	12/8	2	1	vii6/V					F	I		vii6/V	vii		6		V			m	0	0	2, 6, 5		5	2	0	3	0.0	0.0	0.5	0.0
3	2	11/8	11/8	12/8	2	1	V7/V					F	I		V7/V	V		7		V			Mm7	0	0	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.25	0.0
4	3	0	0	12/8	2	1	I/V	0	3.6		/	F	I		I/V	I				V			M	0	0	0, 4, 1		0	0	0	12	0.0	0.0	1.5	0.0
4	3	3/4	3/4	12/8	2	1	V/V					F	I		V/V	V				V			M	0	0	1, 5, 2		1	1	2	3	0.4	0.25	0.5	0.3333333333333333
4	3	9/8	9/8	12/8	2	1	I/V					F	I		I/V	I				V			M	0	0	0, 4, 1		0	0	1	3	0.25	0.125	0.625	0.16666666666666666
5	4	0	0	12/8	2	1	vi/V					F	I		vi/V	vi				V			m	0	0	3, 0, 4		3	3	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
5	4	3/8	3/8	12/8	2	1	V(4)/V					F	I		V(4)/V	V			4	V			M	0	0	1, 0, 2		1	1	0	2	0.0	0.0	0.25	0.0
5	4	1/2	1/2	12/8	2	1	V2/V					F	I		V2/V	V		2		V			Mm7	0	0	-1, 1, 5, 2		1	-1	2	2	0.5	0.25	0.25	0.5
5	4	3/4	3/4	12/8	2	1	I6/V|EC}{					F	I		I6/V	I		6		V	EC	}{	M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.75	0.0
5	4	9/8	9/8	12/8	2	1	#viio/ii					F	I		#viio/ii	#vii	o			ii			o	0	0	6, 3, 0		6	6	0	4	0.0	0.0	0.5	0.0
6	5	0	0	12/8	2	1	ii(9)					F	I		ii(9)	ii			9				m	0	0	1, -2, 2	3	1	1	0	4	0.0	0.0	0.75	0.0
6	5	3/8	3/8	12/8	2	1	ii					F	I		ii	ii							m	0	0	1, -2, 2		1	1	1	3	0.25	0.125	0.375	0.25
6	5	3/4	3/4	12/8	2	1	IV6					F	I		IV6	IV		6					M	0	0	2, -1, -2		-2	2	2	4	0.3333333333333333	0.25	0.75	0.25
6	5	11/8	11/8	12/8	2	1	V7					F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.375	0.0
7	6	0	0	12/8	2	1	I(9)					F	I		I(9)	I			9				M	0	0	-1, 3, 0	1	-1	-1	0	7	0.0	0.0	1.0	0.0
7	6	3/8	3/8	12/8	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
7	6	3/4	3/4	12/8	2	1	V(4)					F	I		V(4)	V			4				M	0	0	0, -1, 1		0	0	0	6	0.0	0.0	1.125	0.0
7	6	9/8	9/8	12/8	2	1	V7/IV					F	I		V7/IV	V		7		IV			Mm7	0	0	-1, 3, 0, -3		-1	-1	1	4	0.2	0.125	0.75	0.14285714285714285
8	7	0	0	12/8	2	1	IV64					F	I		IV64	IV		64					M	0	0	-1, -2, 2		-2	-1	2	4	0.3333333333333333	0.25	0.875	0.2222222222222222
8	7	3/8	3/8	12/8	2	1	V					F	I		V	V							M	0	0	0, 4, 1		0	0	1	2	0.3333333333333333	0.125	0.375	0.25
8	7	5/8	5/8	12/8	2	1	V2					F	I		V2	V		2					Mm7	0	0	-2, 0, 4, 1		0	-2	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	7	3/4	3/4	12/8	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	2	0.3333333333333333	0.125	0.375	0.25
8	7	1	1	12/8	2	1	IV					F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.375	0.0
8	7	9/8	9/8	12/8	2	1	V(64)					F	I		V(64)	V			64				M	0	0	0, -1, 3		0	0	1	3	0.25	0.125	0.625	0.16666666666666666
8	7	11/8	11/8	12/8	2	1	V7					F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.375	0.0
9	8	0	0	12/8	2	1	I|IAC}{					F	I		I	I					IAC	}{	M	0	0	-1, 3, 0		-1	-1	1	12	0.07692307692307693	0.125	1.5	0.07692307692307693
9	8	3/4	3/4	12/8	2	1	V6					F	I		V6	V		6					M	0	0	4, 1, 0		0	4	0	10	0.0	0.0	1.5	0.0
10	9	0	0	12/8	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	10	0.0	0.0	1.5	0.0
10	9	3/4	3/4	12/8	2	1	V6}					F	I		V6	V		6				}	M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.75	0.0
10	9	9/8	9/8	12/8	2	1	V6/ii					F	I		V6/ii	V		6		ii			M	0	0	6, 3, 2		2	6	0	4	0.0	0.0	0.5	0.0
11	10	0	0	12/8	2	1	ii{					F	I		ii	ii						{	m	0	0	1, -2, 2		1	1	0	10	0.0	0.0	1.5	0.0
11	10	3/4	3/4	12/8	2	1	V/ii					F	I		V/ii	V				ii			M	0	0	2, 6, 3		2	2	0	10	0.0	0.0	1.5	0.0
12	11	0	0	12/8	2	1	ii64					F	I		ii64	ii		64					m	0	0	2, 1, -2		1	2	0	10	0.0	0.0	1.5	0.0
12	11	3/4	3/4	12/8	2	1	V/ii}					F	I		V/ii	V				ii		}	M	0	0	2, 6, 3		2	2	0	8	0.0	0.0	1.25	0.0
13	12	0	0	12/8	2	1	ii{					F	I		ii	ii						{	m	0	0	1, -2, 2		1	1	0	12	0.0	0.0	1.5	0.0
13	12	3/4	3/4	12/8	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	10	0.0	0.0	1.5	0.0
14	13	0	0	12/8	2	1	IV6	-0.1	3.5		/	F	I		IV6	IV		6					M	0	0	2, -1, -2		-2	2	0	10	0.0	0.0	1.5	0.0
14	13	3/4	3/4	12/8	2	1	I6}{					F	I		I6	I		6				}{	M	0	0	3, 0, -1		-1	3	0	7	0.0	0.0	1.125	0.0
15	14	0	0	12/8	2	1	I					F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	16	0.0	0.0	2.375	0.0
16	15	0	0	12/8	2	1	V					F	I		V	V							M	0	0	0, 4, 1		0	0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
16	15	3/8	3/8	12/8	2	1	V7					F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
16	15	3/4	3/4	12/8	2	1	I(9)					F	I		I(9)	I			9				M	0	0	-1, 3, 0	1	-1	-1	0	6	0.0	0.0	0.75	0.0
16	15	9/8	9/8	12/8	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
17	16	0	0	12/8	2	1	V(4)					F	I		V(4)	V			4				M	0	0	0, -1, 1		0	0	0	4	0.0	0.0	0.75	0.0
17	16	3/8	3/8	12/8	2	1	V					F	I		V	V							M	0	0	0, 4, 1		0	0	1	1	0.5	0.125	0.125	0.5
17	16	5/8	5/8	12/8	2	1	#viio/vi					F	I		#viio/vi	#vii	o			vi			o	0	0	7, 4, 1		7	7	0	2	0.0	0.0	0.25	0.0
17	16	3/4	3/4	12/8	2	1	vi(9)					F	I		vi(9)	vi			9				m	0	0	2, -1, 3	4	2	2	0	6	0.0	0.0	0.75	0.0
17	16	9/8	9/8	12/8	2	1	vi6					F	I		vi6	vi		6					m	0	0	-1, 3, 2		2	-1	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
18	17	0	0	12/8	2	1	iii(4)					F	I		iii(4)	iii			4				m	0	0	3, 2, 4		3	3	0	4	0.0	0.0	0.75	0.0
18	17	3/8	3/8	12/8	2	1	iii					F	I		iii	iii							m	0	0	3, 0, 4		3	3	1	1	0.5	0.125	0.125	0.5
18	17	5/8	5/8	12/8	2	1	I					F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
18	17	3/4	3/4	12/8	2	1	IV(9)					F	I		IV(9)	IV			9				M	0	0	-2, 2, -1	0	-2	-2	0	6	0.0	0.0	0.75	0.0
18	17	9/8	9/8	12/8	2	1	IV6					F	I		IV6	IV		6					M	0	0	2, -1, -2		-2	2	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
19	18	0	0	12/8	2	1	I(4)					F	I		I(4)	I			4				M	0	0	-1, -2, 0		-1	-1	0	5	0.0	0.0	0.75	0.0
19	18	3/8	3/8	12/8	2	1	I					F	I		I	I							M	0	0	-1, 3, 0		-1	-1	1	3	0.25	0.125	0.625	0.16666666666666666
19	18	3/4	3/4	12/8	2	1	V.V2					F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	1	4	0.2	0.125	0.625	0.16666666666666666
19	18	9/8	9/8	12/8	2	1	I6					F	V		I6	I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.75	0.0
20	19	0	0	12/8	2	1	IVM2					F	V		IVM2	IV	M	2					MM7	0	0	4, -1, 3, 0		-1	4	1	4	0.2	0.125	0.625	0.16666666666666666
20	19	3/8	3/8	12/8	2	1	viio6					F	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2	0	3	0.0	0.0	0.5	0.0
20	19	5/8	5/8	12/8	2	1	V7					F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.25	0.0
20	19	3/4	3/4	12/8	2	1	I					F	V		I	I							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.5	0.0
20	19	1	1	12/8	2	1	I6					F	V		I6	I		6					M	0	0	4, 1, 0		0	4	0	2	0.0	0.0	0.25	0.0
20	19	9/8	9/8	12/8	2	1	vii6/V					F	V		vii6/V	vii		6		V			m	0	0	3, 7, 6		6	3	0	3	0.0	0.0	0.5	0.0
20	19	11/8	11/8	12/8	2	1	V7/V					F	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	0	2	0.0	0.0	0.25	0.0
21	20	0	0	12/8	2	1	V|HC}					F	V		V	V					HC	}	M	0	0	1, 5, 2		1	1	3	6	0.3333333333333333	0.375	1.0	0.2727272727272727
21	20	3/4	3/4	12/8	2	1	I6					F	V		I6	I		6					M	0	0	4, 1, 0		0	4	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
21	20	9/8	9/8	12/8	2	1	V					F	V		V	V							M	0	0	1, 5, 2		1	1	3	3	0.5	0.375	0.375	0.5
22	21	0	0	12/8	2	1	I{	-0.1	3.5		/	F	V		I	I						{	M	0	0	0, 4, 1		0	0	0	10	0.0	0.0	1.5	0.0
22	21	3/4	3/4	12/8	2	1	V6					F	V		V6	V		6					M	0	0	5, 2, 1		1	5	0	10	0.0	0.0	1.5	0.0
23	22	0	0	12/8	2	1	I6					F	V		I6	I		6					M	0	0	4, 1, 0		0	4	0	10	0.0	0.0	1.5	0.0
23	22	3/4	3/4	12/8	2	1	V6					F	V		V6	V		6					M	0	0	5, 2, 1		1	5	0	10	0.0	0.0	1.5	0.0
24	23	0	0	12/8	2	1	I6					F	V		I6	I		6					M	0	0	4, 1, 0		0	4	1	3	0.25	0.125	0.375	0.25
24	23	1/4	1/4	12/8	2	1	IV6					F	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
24	23	3/8	3/8	12/8	2	1	viio6					F	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2	1	3	0.25	0.125	0.375	0.25
24	23	5/8	5/8	12/8	2	1	iii6					F	V		iii6	iii		6					m	0	0	1, 5, 4		4	1	0	2	0.0	0.0	0.25	0.0
24	23	3/4	3/4	12/8	2	1	vi6					F	V		vi6	vi		6					m	0	0	0, 4, 3		3	0	1	3	0.25	0.125	0.375	0.25
24	23	1	1	12/8	2	1	ii6					F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	0	2	0.0	0.0	0.25	0.0
24	23	9/8	9/8	12/8	2	1	V6					F	V		V6	V		6					M	0	0	5, 2, 1		1	5	1	3	0.25	0.125	0.375	0.25
24	23	11/8	11/8	12/8	2	1	I6					F	V		I6	I		6					M	0	0	4, 1, 0		0	4	0	2	0.0	0.0	0.25	0.0
25	24	0	0	12/8	2	1	IV6					F	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.375	0.25
25	24	1/4	1/4	12/8	2	1	ii7					F	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2	0	2	0.0	0.0	0.25	0.0
25	24	3/8	3/8	12/8	2	1	V7					F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	6	0.0	0.0	0.75	0.0
25	24	3/4	3/4	12/8	2	1	I|PAC}					F	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0	0	7	0.0	0.0	1.375	0.0
27	25	0	0	12/8	2	1	I.V6{					F	I		V6	V		6				{	M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
27	25	3/8	3/8	12/8	2	1	V					F	I		V	V							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
27	25	3/4	3/4	12/8	2	1	V64					F	I		V64	V		64					M	0	0	1, 0, 4		0	1	0	5	0.0	0.0	0.75	0.0
27	25	9/8	9/8	12/8	2	1	V					F	I		V	V							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.75	0.0
28	26	0	0	12/8	2	1	V7					F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
28	26	3/8	3/8	12/8	2	1	I					F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
28	26	1/2	1/2	12/8	2	1	viio					F	I		viio	vii	o						o	0	0	4, 1, -2		4	4	0	4	0.0	0.0	0.5	0.0
28	26	3/4	3/4	12/8	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
28	26	7/8	7/8	12/8	2	1	viio6					F	I		viio6	vii	o	6					o	0	0	1, -2, 4		4	1	0	4	0.0	0.0	0.5	0.0
28	26	9/8	9/8	12/8	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	4	0.2	0.125	0.625	0.16666666666666666
29	27	0	0	12/8	2	1	I					F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	8	0.0	0.0	1.25	0.0
29	27	3/4	3/4	12/8	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	9	0.0	0.0	1.5	0.0
30	28	0	0	12/8	2	1	V2/IV					F	I		V2/IV	V		2		IV			Mm7	0	0	-3, -1, 3, 0		-1	-3	1	4	0.2	0.125	0.625	0.16666666666666666
30	28	3/8	3/8	12/8	2	1	IV6					F	I		IV6	IV		6					M	0	0	2, -1, -2		-2	2	1	2	0.3333333333333333	0.125	0.375	0.25
30	28	5/8	5/8	12/8	2	1	viio6/IV					F	I		viio6/IV	vii	o	6		IV			o	0	0	0, -3, 3		3	0	0	2	0.0	0.0	0.25	0.0
30	28	3/4	3/4	12/8	2	1	IV					F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	1	2	0.3333333333333333	0.125	0.375	0.25
30	28	1	1	12/8	2	1	V7/IV					F	I		V7/IV	V		7		IV			Mm7	0	0	-1, 3, 0, -3		-1	-1	0	2	0.0	0.0	0.25	0.0
30	28	9/8	9/8	12/8	2	1	IV					F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.25	0.0
30	28	5/4	5/4	12/8	2	1	#viio6/ii	0	-9		/	F	I		#viio6/ii	#vii	o	6		ii			o	0	0	3, 0, 6		6	3	1	3	0.25	0.125	0.375	0.25
31	29	0	0	12/8	2	1	ii					F	I		ii	ii							m	0	0	1, -2, 2		1	1	0	2	0.0	0.0	0.25	0.0
31	29	1/8	1/8	12/8	2	1	#viio6/ii					F	I		#viio6/ii	#vii	o	6		ii			o	0	0	3, 0, 6		6	3	0	4	0.0	0.0	0.5	0.0
