mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	2/2	2	1	a.i						a	i		i	i							m	1	1	3, 0, 4		3	3	2	8	0.2	0.25	1.25	0.16666666666666666
2	1	1/2	1/2	2/2	2	1	iv64						a	i		iv64	iv		64					m	1	1	3, 2, -1		2	3	1	6	0.14285714285714285	0.125	0.875	0.125
3	2	0	0	2/2	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.5	0.0
3	2	1/4	1/4	2/2	2	1	iv64						a	i		iv64	iv		64					m	1	1	3, 2, -1		2	3	0	3	0.0	0.0	0.5	0.0
3	2	1/2	1/2	2/2	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.5	0.0
3	2	3/4	3/4	2/2	2	1	ii%2						a	i		ii%2	ii	%	2					%7	1	1	3, 5, 2, -1		5	3	0	3	0.0	0.0	0.5	0.0
4	3	0	0	2/2	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3	3	1	6	0.14285714285714285	0.125	0.875	0.125
4	3	1/2	1/2	2/2	2	1	iv64						a	i		iv64	iv		64					m	1	1	3, 2, -1		2	3	1	6	0.14285714285714285	0.125	0.875	0.125
5	4	0	0	2/2	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3	3	1	6	0.14285714285714285	0.125	0.875	0.125
5	4	1/2	1/2	2/2	2	1	ii%2						a	i		ii%2	ii	%	2					%7	1	1	3, 5, 2, -1		5	3	1	6	0.14285714285714285	0.125	0.875	0.125
6	5	0	0	2/2	2	1	V6						a	i		V6	V		6					M	1	1	8, 5, 4		4	8	0	3	0.0	0.0	0.5	0.0
6	5	1/4	1/4	2/2	2	1	ii64						a	i		ii64	ii		64					m	1	1	6, 5, 2		5	6	1	3	0.25	0.125	0.375	0.25
6	5	1/2	1/2	2/2	2	1	#viio						a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	0	3	0.0	0.0	0.5	0.0
6	5	3/4	3/4	2/2	2	1	V						a	i		V	V							M	1	1	4, 8, 5		4	4	1	3	0.25	0.125	0.375	0.25
7	6	0	0	2/2	2	1	V(64)						a	i		V(64)	V			64				M	1	1	4, 3, 0		4	4	1	6	0.14285714285714285	0.125	0.875	0.125
7	6	1/2	1/2	2/2	2	1	V7						a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	6	0.14285714285714285	0.125	0.875	0.125
8	7	0	0	2/2	2	1	V(64)						a	i		V(64)	V			64				M	1	1	4, 3, 0		4	4	1	7	0.125	0.125	0.875	0.125
8	7	1/2	1/2	2/2	2	1	V7						a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	3	0.25	0.125	0.375	0.25
8	7	3/4	3/4	2/2	2	1	V						a	i		V	V							M	1	1	4, 8, 5		4	4	1	3	0.25	0.125	0.375	0.25
9	8	0	0	2/2	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
9	8	1/4	1/4	2/2	2	1	V						a	i		V	V							M	1	1	4, 8, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
9	8	1/2	1/2	2/2	2	1	i6						a	i		i6	i		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	0.5	0.0
9	8	3/4	3/4	2/2	2	1	V7						a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.5	0.0
10	9	0	0	2/2	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
10	9	1/4	1/4	2/2	2	1	i6						a	i		i6	i		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	0.5	0.0
10	9	1/2	1/2	2/2	2	1	i64						a	i		i64	i		64					m	1	1	4, 3, 0		3	4	1	2	0.3333333333333333	0.125	0.375	0.25
10	9	3/4	3/4	2/2	2	1	i2						a	i		i2	i		2					mm7	1	1	1, 3, 0, 4		3	1	0	3	0.0	0.0	0.5	0.0
11	10	0	0	2/2	2	1	viio/VII						a	i		viio/VII	vii	o			VII			o	1	1	6, 3, 0		6	6	1	2	0.3333333333333333	0.125	0.375	0.25
11	10	1/4	1/4	2/2	2	1	V64/VII						a	i		V64/VII	V		64		VII			M	1	1	3, 2, 6		2	3	0	3	0.0	0.0	0.5	0.0
11	10	1/2	1/2	2/2	2	1	V7/VII						a	i		V7/VII	V		7		VII			Mm7	1	1	2, 6, 3, 0		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
11	10	3/4	3/4	2/2	2	1	V6/VII						a	i		V6/VII	V		6		VII			M	1	1	6, 3, 2		2	6	0	3	0.0	0.0	0.5	0.0
12	11	0	0	2/2	2	1	VII						a	i		VII	VII							M	1	1	1, 5, 2		1	1	1	2	0.3333333333333333	0.125	0.375	0.25
12	11	1/4	1/4	2/2	2	1	VII6						a	i		VII6	VII		6					M	1	1	5, 2, 1		1	5	0	3	0.0	0.0	0.5	0.0
12	11	1/2	1/2	2/2	2	1	VII64						a	i		VII64	VII		64					M	1	1	2, 1, 5		1	2	1	2	0.3333333333333333	0.125	0.375	0.25
12	11	3/4	3/4	2/2	2	1	VIIM2						a	i		VIIM2	VII	M	2					MM7	1	1	6, 1, 5, 2		1	6	0	3	0.0	0.0	0.5	0.0
13	12	0	0	2/2	2	1	IIIM65						a	i		IIIM65	III	M	65					MM7	1	1	4, 1, 5, 0		0	4	1	2	0.3333333333333333	0.125	0.375	0.25
13	12	1/4	1/4	2/2	2	1	III64						a	i		III64	III		64					M	1	1	1, 0, 4		0	1	0	3	0.0	0.0	0.5	0.0
13	12	1/2	1/2	2/2	2	1	IIIM7						a	i		IIIM7	III	M	7					MM7	1	1	0, 4, 1, 5		0	0	1	2	0.3333333333333333	0.125	0.375	0.25
13	12	3/4	3/4	2/2	2	1	III6						a	i		III6	III		6					M	1	1	4, 1, 0		0	4	0	3	0.0	0.0	0.5	0.0
14	13	0	0	2/2	2	1	iio/v						a	i		iio/v	ii	o			v			o	1	1	6, 3, 0		6	6	1	2	0.3333333333333333	0.125	0.375	0.25
14	13	1/4	1/4	2/2	2	1	iio6/v						a	i		iio6/v	ii	o	6		v			o	1	1	3, 0, 6		6	3	0	3	0.0	0.0	0.5	0.0
14	13	1/2	1/2	2/2	2	1	iio64/v						a	i		iio64/v	ii	o	64		v			o	1	1	0, 6, 3		6	0	1	2	0.3333333333333333	0.125	0.375	0.25
14	13	3/4	3/4	2/2	2	1	ii%2/v						a	i		ii%2/v	ii	%	2		v			%7	1	1	4, 6, 3, 0		6	4	0	3	0.0	0.0	0.5	0.0
15	14	0	0	2/2	2	1	#viio/v						a	i		#viio/v	#vii	o			v			o	1	1	9, 6, 3		9	9	1	2	0.3333333333333333	0.125	0.375	0.25
15	14	1/4	1/4	2/2	2	1	V64/v						a	i		V64/v	V		64		v			M	1	1	6, 5, 9		5	6	0	3	0.0	0.0	0.5	0.0
15	14	1/2	1/2	2/2	2	1	V7/v						a	i		V7/v	V		7		v			Mm7	1	1	5, 9, 6, 3		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
15	14	3/4	3/4	2/2	2	1	V6/v						a	i		V6/v	V		6		v			M	1	1	9, 6, 5		5	9	0	3	0.0	0.0	0.5	0.0
16	15	0	0	2/2	2	1	V(64)/v						a	i		V(64)/v	V			64	v			M	1	1	5, 4, 1		5	5	1	6	0.14285714285714285	0.125	0.875	0.125
16	15	1/2	1/2	2/2	2	1	V7/v						a	i		V7/v	V		7		v			Mm7	1	1	5, 9, 6, 3		5	5	0	3	0.0	0.0	0.5	0.0
16	15	3/4	3/4	2/2	2	1	V/v						a	i		V/v	V				v			M	1	1	5, 9, 6		5	5	1	3	0.25	0.125	0.375	0.25
17	16	0	0	2/2	2	1	v						a	i		v	v							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
17	16	1/4	1/4	2/2	2	1	V/v						a	i		V/v	V				v			M	1	1	5, 9, 6		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
17	16	1/2	1/2	2/2	2	1	v						a	i		v	v							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
17	16	3/4	3/4	2/2	2	1	V6/v						a	i		V6/v	V		6		v			M	1	1	9, 6, 5		5	9	0	3	0.0	0.0	0.5	0.0
18	17	0	0	2/2	2	1	V(64)/v						a	i		V(64)/v	V			64	v			M	1	1	5, 4, 1		5	5	2	6	0.25	0.25	0.75	0.25
18	17	1/2	1/2	2/2	2	1	V7/v						a	i		V7/v	V		7		v			Mm7	1	1	5, 9, 6, 3		5	5	1	7	0.125	0.125	0.875	0.125
19	18	0	0	2/2	2	1	v						a	i		v	v							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.5	0.0
19	18	1/4	1/4	2/2	2	1	v64						a	i		v64	v		64					m	1	1	5, 4, 1		4	5	0	3	0.0	0.0	0.5	0.0
19	18	1/2	1/2	2/2	2	1	v						a	i		v	v							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.5	0.0
19	18	3/4	3/4	2/2	2	1	v6						a	i		v6	v		6					m	1	1	1, 5, 4		4	1	0	3	0.0	0.0	0.5	0.0
20	19	0	0	2/2	2	1	v						a	i		v	v							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.5	0.0
20	19	1/4	1/4	2/2	2	1	v6						a	i		v6	v		6					m	1	1	1, 5, 4		4	1	0	3	0.0	0.0	0.5	0.0
20	19	1/2	1/2	2/2	2	1	v64						a	i		v64	v		64					m	1	1	5, 4, 1		4	5	1	2	0.3333333333333333	0.125	0.375	0.25
20	19	3/4	3/4	2/2	2	1	v						a	i		v	v							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
