mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	Eb.I{			Eb	I		I	I						{	M	0	0	-3, 1, -2		-3.0	-3.0	1	3	0.25	0.125	0.375	0.25
1	1	1/4	1/4	3/4	2	1	V65/IV			Eb	I		V65/IV	V		65		IV			Mm7	0	0	1, -2, -5, -3		-3.0	1.0	0	3	0.0	0.0	0.5	0.0
1	1	1/2	1/2	3/4	2	1	V7/IV			Eb	I		V7/IV	V		7		IV			Mm7	0	0	-3, 1, -2, -5		-3.0	-3.0	1	2	0.3333333333333333	0.125	0.375	0.25
2	2	0	0	3/4	2	1	IV			Eb	I		IV	IV							M	0	0	-4, 0, -3		-4.0	-4.0	0	3	0.0	0.0	0.5	0.0
2	2	1/4	1/4	3/4	2	1	I6			Eb	I		I6	I		6					M	0	0	1, -2, -3		-3.0	1.0	0	3	0.0	0.0	0.5	0.0
2	2	1/2	1/2	3/4	2	1	ii		viio6	Eb	I		ii	ii							m	0	0	-1, -4, 0		-1.0	-1.0	0	3	0.0	0.0	0.5	0.0
3	3	0	0	3/4	2	1	I			Eb	I		I	I							M	0	0	-3, 1, -2		-3.0	-3.0	0	3	0.0	0.0	0.75	0.0
3	3	1/4	1/4	3/4	2	1	V2/IV			Eb	I		V2/IV	V		2		IV			Mm7	0	0	-5, -3, 1, -2		-3.0	-5.0	0	4	0.0	0.0	0.5	0.0
3	3	5/8	5/8	3/4	2	1	IV6			Eb	I		IV6	IV		6					M	0	0	0, -3, -4		-4.0	0.0	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
4	4	1/4	1/4	3/4	2	1	I64			Eb	I		I64	I		64					M	0	0	-2, -3, 1		-3.0	-2.0	0	3	0.0	0.0	0.5	0.0
4	4	1/2	1/2	3/4	2	1	ii6			Eb	I		ii6	ii		6					m	0	0	-4, 0, -1		-1.0	-4.0	0	3	0.0	0.0	0.5	0.0
5	5	0	0	3/4	2	1	I6			Eb	I		I6	I		6					M	0	0	1, -2, -3		-3.0	1.0	0	4	0.0	0.0	0.5	0.0
5	5	1/4	1/4	3/4	2	1	I			Eb	I		I	I							M	0	0	-3, 1, -2		-3.0	-3.0	1	2	0.3333333333333333	0.125	0.375	0.25
5	5	1/2	1/2	3/4	2	1	V6			Eb	I		V6	V		6					M	0	0	2, -1, -2		-2.0	2.0	1	2	0.3333333333333333	0.125	0.375	0.25
6	6	0	0	3/4	2	1	V.viio			Eb	V		viio	vii	o						o	0	0	3, 0, -3		3.0	3.0	0	4	0.0	0.0	0.5	0.0
6	6	1/4	1/4	3/4	2	1	V7			Eb	V		V7	V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	1	2	0.3333333333333333	0.125	0.375	0.25
6	6	1/2	1/2	3/4	2	1	I			Eb	V		I	I							M	0	0	-2, 2, -1		-2.0	-2.0	1	2	0.3333333333333333	0.125	0.375	0.25
7	7	0	0	3/4	2	1	ii65			Eb	V		ii65	ii		65					mm7	0	0	-3, 1, -2, 0		0.0	-3.0	0	3	0.0	0.0	0.5	0.0
7	7	1/4	1/4	3/4	2	1	V(64)			Eb	V		V(64)	V			64				M	0	0	-1, -2, 2		-1.0	-1.0	0	3	0.0	0.0	0.5	0.0
7	7	1/2	1/2	3/4	2	1	V7			Eb	V		V7	V		7					Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	0	3	0.0	0.0	0.5	0.0
8	8	0	0	3/4	2	1	I|PAC}	1.0		Eb	V		I	I					PAC	}	M	0	0	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	0.5	0.0
8	8	1/4	1/4	3/4	2	1	V7/IV	1.0		Eb	V		V7/IV	V		7		IV			Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0	1	4	0.2	0.125	0.875	0.125
9	8	0	0	3/4	2	1	I|PAC}	2.0		Eb	V		I	I					PAC	}	M	0	0	-2, 2, -1		-2.0	-2.0	2	8	0.2	0.1875	1.8125	0.09375
10	9	1/4	1/4	3/4	2	1	I.viio			Eb	I		viio	vii	o						o	0	0	2, -1, -4		2.0	2.0	1	2	0.3333333333333333	0.125	0.375	0.25
