mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
4	3	3/8	3/8	4/4	2	1	viio2				A	I		viio2	vii	o	2						o7	0	0	-1, 8, 5, 2		8.0	-1.0	0	3	0.0	0.0	0.3125	0.0
4	3	1/2	1/2	4/4	2	1	I(4)				A	I		I(4)	I			4					M	0	0	3, 2, 4		3.0	3.0	0	5	0.0	0.0	0.875	0.0
4	3	5/8	5/8	4/4	2	1	I]				A	I		I	I					]			M	0	0	3, 7, 4		3.0	3.0	1	6	0.14285714285714285	0.0625	0.9375	0.0625
4	3	7/8	7/8	4/4	2	1	vi7				A	I		vi7	vi		7						mm7	0	0	6, 3, 7, 4		6.0	6.0	1	1	0.5	0.0625	0.0625	0.5
5	4	0	0	4/4	2	1	V7/V}{				A	I		V7/V	V		7		V			}{	Mm7	0	0	5, 9, 6, 3		5.0	5.0	0	10	0.0	0.0	1.5625	0.0
5	4	1/4	1/4	4/4	2	1	V6				A	I		V6	V		6						M	0	0	8, 5, 4		4.0	8.0	1	4	0.2	0.0625	0.75	0.07692307692307693
5	4	1/2	1/2	4/4	2	1	ii7/V				A	I		ii7/V	ii		7		V				mm7	0	0	6, 3, 7, 4		6.0	6.0	1	10	0.09090909090909091	0.0625	1.6875	0.03571428571428571
5	4	7/8	7/8	4/4	2	1	V43/V				A	I		V43/V	V		43		V				Mm7	0	0	6, 3, 5, 9		5.0	6.0	0	3	0.0	0.0	0.25	0.0
6	5	0	0	4/4	2	1	V(4)				A	I		V(4)	V			4					M	0	0	4, 3, 5		4.0	4.0	0	5	0.0	0.0	0.875	0.0
6	5	1/8	1/8	4/4	2	1	V				A	I		V	V								M	0	0	4, 8, 5		4.0	4.0	2	5	0.2857142857142857	0.125	0.875	0.125
6	5	3/8	3/8	4/4	2	1	V64				A	I		V64	V		64						M	0	0	5, 4, 8		4.0	5.0	1	1	0.5	0.0625	0.0625	0.5
6	5	1/2	1/2	4/4	2	1	V7				A	I		V7	V		7						Mm7	0	0	4, 8, 5, 2		4.0	4.0	0	11	0.0	0.0	1.4375	0.0
6	5	3/4	3/4	4/4	2	1	I6				A	I		I6	I		6						M	0	0	7, 4, 3		3.0	7.0	1	4	0.2	0.0625	0.5625	0.1
6	5	7/8	7/8	4/4	2	1	V64(4)				A	I		V64(4)	V		64	4					M	0	0	5, 4, 3		4.0	5.0	0	2	0.0	0.0	0.1875	0.0
6	5	15/16	15/16	4/4	2	1	V64				A	I		V64	V		64						M	0	0	5, 4, 8		4.0	5.0	1	2	0.3333333333333333	0.03125	0.09375	0.25
7	6	0	0	4/4	2	1	I				A	I		I	I								M	0	0	3, 7, 4		3.0	3.0	3	7	0.3	0.1875	1.6875	0.1
7	6	3/8	3/8	4/4	2	1	V64/IV				A	I		V64/IV	V		64		IV				M	0	0	4, 3, 7		3.0	4.0	1	1	0.5	0.0625	0.0625	0.5
7	6	1/2	1/2	4/4	2	1	V7/IV				A	I		V7/IV	V		7		IV				Mm7	0	0	3, 7, 4, 1		3.0	3.0	0	11	0.0	0.0	1.4375	0.0
7	6	3/4	3/4	4/4	2	1	IV6				A	I		IV6	IV		6						M	0	0	6, 3, 2		2.0	6.0	1	5	0.16666666666666666	0.03125	0.59375	0.05
7	6	7/8	7/8	4/4	2	1	V64(4)/IV				A	I		V64(4)/IV	V		64	4	IV				M	0	0	4, 3, 2		3.0	4.0	0	2	0.0	0.0	0.1875	0.0
7	6	15/16	15/16	4/4	2	1	V64/IV				A	I		V64/IV	V		64		IV				M	0	0	4, 3, 7		3.0	4.0	1	2	0.3333333333333333	0.03125	0.09375	0.25
8	7	0	0	4/4	2	1	IV				A	I		IV	IV								M	0	0	2, 6, 3		2.0	2.0	2	9	0.18181818181818182	0.125	1.625	0.07142857142857142
8	7	3/8	3/8	4/4	2	1	ii				A	I		ii	ii								m	0	0	5, 2, 6		5.0	5.0	1	2	0.3333333333333333	0.0625	0.125	0.3333333333333333
8	7	1/2	1/2	4/4	2	1	V7				A	I		V7	V		7						Mm7	0	0	4, 8, 5, 2		4.0	4.0	2	10	0.16666666666666666	0.125	1.4375	0.08
8	7	3/4	3/4	4/4	2	1	I6				A	I		I6	I		6						M	0	0	7, 4, 3		3.0	7.0	0	3	0.0	0.0	0.5	0.0
8	7	7/8	7/8	4/4	2	1	I				A	I		I	I								M	0	0	3, 7, 4		3.0	3.0	2	2	0.5	0.09375	0.09375	0.5
9	8	0	0	4/4	2	1	V6				A	I		V6	V		6						M	0	0	8, 5, 4		4.0	8.0	5	9	0.35714285714285715	0.3125	2.0	0.13513513513513514
9	8	1/2	1/2	4/4	2	1	I(9)				A	I		I(9)	I			9					M	0	0	3, 7, 4	5	3.0	3.0	0	5	0.0	0.0	0.6875	0.0
9	8	5/8	5/8	4/4	2	1	I				A	I		I	I								M	0	0	3, 7, 4		3.0	3.0	0	4	0.0	0.0	0.3125	0.0
