mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	d.i[i6			d	i	i	i6	i		6					m	1	1	-1, 3, 2		2	-1	0	4	0.0	0.0	1.25	0.0
1	1	1/4	1/4	3/4	2	1	iio6			d	i	i	iio6	ii	o	6					o	1	1	1, -2, 4		4	1	0	3	0.0	0.0	0.5	0.0
1	1	1/2	1/2	3/4	2	1	i64			d	i	i	i64	i		64					m	1	1	3, 2, -1		2	3	0	3	0.0	0.0	0.5	0.0
2	2	0	0	3/4	2	1	iv			d	i	i	iv	iv							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.25	0.0
2	2	1/4	1/4	3/4	2	1	#viio6			d	i	i	#viio6	#vii	o	6					o	1	1	4, 1, 7		7	4	1	3	0.25	0.125	0.375	0.25
2	2	1/2	1/2	3/4	2	1	i6]			d	i	i	i6	i		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.5	0.0
3	3	0	0	3/4	2	1	iv65			d	i		iv65	iv		65					mm7	1	1	-2, 2, -1, 1		1	-2	0	3	0.0	0.0	1.125	0.0
3	3	1/8	1/8	3/4	2	1	iio64			d	i		iio64	ii	o	64					o	1	1	-2, 4, 1		4	-2	0	1	0.0	0.0	0.125	0.0
3	3	1/4	1/4	3/4	2	1	iv6			d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	0	2	0.0	0.0	0.5	0.0
3	3	3/8	3/8	3/4	2	1	#viio2			d	i		#viio2	#vii	o	2					o7	1	1	-2, 7, 4, 1		7	-2	0	1	0.0	0.0	0.125	0.0
3	3	1/2	1/2	3/4	2	1	iv6			d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	0	1	0.0	0.0	0.125	0.0
3	3	5/8	5/8	3/4	2	1	iio64			d	i		iio64	ii	o	64					o	1	1	-2, 4, 1		4	-2	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	4	0	0	3/4	2	1	V(4)			d	i		V(4)	V			4				M	1	1	3, 2, 4		3	3	0	3	0.0	0.0	1.375	0.0
4	4	1/8	1/8	3/4	2	1	V\\			d	i		V	V						\\	M	1	1	3, 7, 4		3	3	1	4	0.2	0.125	0.625	0.16666666666666666
4	4	5/8	5/8	3/4	2	1	V2			d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	0	1	0.0	0.0	0.125	0.0
5	5	0	0	3/4	2	1	III[i			d	i	III	i	i							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	1.25	0.0
5	5	1/4	1/4	3/4	2	1	v6			d	i	III	v6	v		6					m	1	1	0, 4, 3		3	0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
5	5	5/8	5/8	3/4	2	1	v			d	i	III	v	v							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	0.25	0.0
6	6	0	0	3/4	2	1	#viio/v]			d	i	III	#viio/v	#vii	o			v			o	1	1	8, 5, 2		8	8	2	2	0.5	0.375	0.375	0.5
6	6	1/4	1/4	3/4	2	1	V(11)/v			d	i		V(11)/v	V			11	v			M	1	1	4, 8, 5	3	4	4	1	3	0.25	0.125	0.625	0.16666666666666666
6	6	1/2	1/2	3/4	2	1	#viio64/v			d	i		#viio64/v	#vii	o	64		v			o	1	1	2, 8, 5		8	2	0	4	0.0	0.0	0.75	0.0
7	7	0	0	3/4	2	1	v6			d	i		v6	v		6					m	1	1	0, 4, 3		3	0	0	4	0.0	0.0	0.75	0.0
7	7	1/4	1/4	3/4	2	1	iv/v			d	i		iv/v	iv				v			m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.625	0.0
