mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	12/8	2	1	A.I{						A	I		I	I						{	M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.125	0.25	0.3333333333333333
1	1	3/8	3/8	12/8	2	1	V7						A	I		V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	1	5	0.16666666666666666	0.0625	0.3125	0.16666666666666666
1	1	3/4	3/4	12/8	2	1	I						A	I		I	I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.125	0.25	0.3333333333333333
1	1	9/8	9/8	12/8	2	1	V7						A	I		V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	1	5	0.16666666666666666	0.0625	0.3125	0.16666666666666666
2	2	0	0	12/8	2	1	I						A	I		I	I							M	0	0	3, 7, 4		3	3	3	3	0.5	0.1875	0.1875	0.5
2	2	3/8	3/8	12/8	2	1	V						A	I		V	V							M	0	0	4, 8, 5		4	4	1	5	0.16666666666666666	0.0625	0.3125	0.16666666666666666
2	2	3/4	3/4	12/8	2	1	I}						A	I		I	I						}	M	0	0	3, 7, 4		3	3	14	22	0.3888888888888889	1.4375	4.5	0.24210526315789474
4	4	0	0	12/8	2	1	I6						A	I		I6	I		6					M	0	0	7, 4, 3		3	7	3	6	0.3333333333333333	0.375	1.125	0.25
4	4	3/4	3/4	12/8	2	1	V						A	I		V	V							M	0	0	4, 8, 5		4	4	5	5	0.5	0.625	1.625	0.2777777777777778
5	5	0	0	12/8	2	1	V65						A	I		V65	V		65					Mm7	0	0	8, 5, 2, 4		4	8	2	8	0.2	0.25	1.75	0.125
5	5	5/8	5/8	12/8	2	1	V7					V	A	I		V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	2	0.0	0.0	0.25	0.0
5	5	3/4	3/4	12/8	2	1	I						A	I		I	I							M	0	0	3, 7, 4		3	3	5	6	0.45454545454545453	0.625	1.875	0.25
6	6	0	0	12/8	2	1	V65/IV						A	I		V65/IV	V		65		IV			Mm7	0	0	7, 4, 1, 3		3	7	2	8	0.2	0.25	2.0	0.1111111111111111
6	6	5/8	5/8	12/8	2	1	V7/IV					V/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.25	0.0
6	6	3/4	3/4	12/8	2	1	IV						A	I		IV	IV							M	0	0	2, 6, 3		2	2	5	7	0.4166666666666667	0.625	2.0	0.23809523809523808
