mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	F.I{						F	I		I	I						{	M	0	0	-1, 3, 0		-1.0	-1.0	1	2	0.3333333333333333	0.125	0.375	0.25
1	1	1/4	1/4	3/4	2	1	V6						F	I		V6	V		6					M	0	0	4, 1, 0		0.0	4.0	1	2	0.3333333333333333	0.125	0.5	0.2
1	1	1/2	1/2	3/4	2	1	V						F	I		V	V							M	0	0	0, 4, 1		0.0	0.0	1	3	0.25	0.0625	0.3125	0.16666666666666666
2	2	0	0	3/4	2	1	I						F	I		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	2	4	0.3333333333333333	0.25	0.75	0.25
2	2	1/2	1/2	3/4	2	1	I6						F	I		I6	I		6					M	0	0	3, 0, -1		-1.0	3.0	1	2	0.3333333333333333	0.125	0.375	0.25
3	3	0	0	3/4	2	1	I64					iii6	F	I		I64	I		64					M	0	0	0, -1, 3		-1.0	0.0	2	2	0.5	0.25	0.25	0.5
3	3	1/4	1/4	3/4	2	1	V6						F	I		V6	V		6					M	0	0	4, 1, 0		0.0	4.0	0	3	0.0	0.0	0.5	0.0
3	3	1/2	1/2	3/4	2	1	V6/ii						F	I		V6/ii	V		6		ii			M	0	0	6, 3, 2		2.0	6.0	0	3	0.0	0.0	0.5	0.0
4	4	0	0	3/4	2	1	ii}						F	I		ii	ii						}	m	0	0	1, -2, 2		1.0	1.0	1	2	0.3333333333333333	0.125	0.875	0.125
4	4	1/4	1/4	3/4	2	1	ii6						F	I		ii6	ii		6					m	0	0	-2, 2, 1		1.0	-2.0	1	1	0.5	0.125	0.125	0.5
4	4	1/2	1/2	3/4	2	1	ii						F	I		ii	ii							m	0	0	1, -2, 2		1.0	1.0	1	1	0.5	0.125	0.125	0.5
5	5	0	0	3/4	2	1	viio{						F	I		viio	vii	o					{	o	0	0	4, 1, -2		4.0	4.0	2	2	0.5	0.25	0.25	0.5
5	5	1/4	1/4	3/4	2	1	vi						F	I		vi	vi							m	0	0	2, -1, 3		2.0	2.0	1	2	0.3333333333333333	0.125	0.5	0.2
5	5	1/2	1/2	3/4	2	1	I					vi6	F	I		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	2	2	0.5	0.1875	0.1875	0.5
6	6	0	0	3/4	2	1	ii						F	I		ii	ii							m	0	0	1, -2, 2		1.0	1.0	2	7	0.2222222222222222	0.25	1.25	0.16666666666666666
7	7	0	0	3/4	2	1	V						F	I		V	V							M	0	0	0, 4, 1		0.0	0.0	1	2	0.3333333333333333	0.125	0.375	0.25
7	7	1/4	1/4	3/4	2	1	vi					IV6	F	I		vi	vi							m	0	0	2, -1, 3		2.0	2.0	1	2	0.3333333333333333	0.125	0.375	0.25
7	7	1/2	1/2	3/4	2	1	viio						F	I		viio	vii	o						o	0	0	4, 1, -2		4.0	4.0	1	2	0.3333333333333333	0.125	0.375	0.25
8	8	0	0	3/4	2	1	I|IAC}						F	I		I	I					IAC	}	M	0	0	-1, 3, 0		-1.0	-1.0	1	2	0.3333333333333333	0.125	0.375	0.25
8	8	1/4	1/4	3/4	2	1	I64						F	I		I64	I		64					M	0	0	0, -1, 3		-1.0	0.0	1	2	0.3333333333333333	0.125	0.375	0.25
8	8	1/2	1/2	3/4	2	1	I6						F	I		I6	I		6					M	0	0	3, 0, -1		-1.0	3.0	1	2	0.3333333333333333	0.125	0.375	0.25
9	9	0	0	3/4	2	1	I{						F	I		I	I						{	M	0	0	-1, 3, 0		-1.0	-1.0	1	2	0.3333333333333333	0.125	0.375	0.25
9	9	1/4	1/4	3/4	2	1	V.viio64						F	V		viio64	vii	o	64					o	0	0	-1, 5, 2		5.0	-1.0	1	2	0.3333333333333333	0.125	0.5	0.2
9	9	1/2	1/2	3/4	2	1	viio6						F	V		viio6	vii	o	6					o	0	0	2, -1, 5		5.0	2.0	1	3	0.25	0.0625	0.3125	0.16666666666666666
10	10	0	0	3/4	2	1	I6						F	V		I6	I		6					M	0	0	4, 1, 0		0.0	4.0	1	2	0.3333333333333333	0.125	0.375	0.25
10	10	1/4	1/4	3/4	2	1	ii6						F	V		ii6	ii		6					m	0	0	-1, 3, 2		2.0	-1.0	1	2	0.3333333333333333	0.125	0.375	0.25
10	10	1/2	1/2	3/4	2	1	V7						F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1.0	1.0	1	2	0.3333333333333333	0.125	0.375	0.25
11	11	0	0	3/4	2	1	I						F	V		I	I							M	0	0	0, 4, 1		0.0	0.0	2	2	0.5	0.25	0.25	0.5
11	11	1/4	1/4	3/4	2	1	viio6	0	-5	/			F	V		viio6	vii	o	6					o	0	0	2, -1, 5		5.0	2.0	3	4	0.42857142857142855	0.3125	0.6875	0.3125
12	12	0	0	3/4	2	1	I6}	0	-2.73858	/			F	V		I6	I		6				}	M	0	0	4, 1, 0		0.0	4.0	2	3	0.4	0.25	1.0	0.2
12	12	1/2	1/2	3/4	2	1	I						F	V		I	I							M	0	0	0, 4, 1		0.0	0.0	1	1	0.5	0.125	0.125	0.5
13	13	0	0	3/4	2	1	IV{						F	V		IV	IV						{	M	0	0	-1, 3, 0		-1.0	-1.0	1	2	0.3333333333333333	0.125	0.375	0.25
13	13	1/4	1/4	3/4	2	1	ii6						F	V		ii6	ii		6					m	0	0	-1, 3, 2		2.0	-1.0	1	4	0.2	0.125	0.875	0.125
14	14	0	0	3/4	2	1	V2						F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1.0	-1.0	1	5	0.16666666666666666	0.125	0.875	0.125
14	14	1/2	1/2	3/4	2	1	vi						F	V		vi	vi							m	0	0	3, 0, 4		3.0	3.0	0	3	0.0	0.0	0.5	0.0
15	15	0	0	3/4	2	1	ii7						F	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2.0	2.0	0	4	0.0	0.0	0.5	0.0
15	15	1/4	1/4	3/4	2	1	V						F	V		V	V							M	0	0	1, 5, 2		1.0	1.0	1	3	0.25	0.125	0.875	0.125
16	16	0	0	3/4	2	1	I|PAC}				1.0		F	V		I	I					PAC	}	M	0	0	0, 4, 1		0.0	0.0	3	4	0.42857142857142855	0.375	1.125	0.25
17	1	0	0	3/4	2	1	I.I6{				1.0		F	I		I6	I		6				{	M	0	0	3, 0, -1		-1.0	3.0	1	2	0.3333333333333333	0.125	0.375	0.25
17	1	1/4	1/4	3/4	2	1	ii6				1.0		F	I		ii6	ii		6					m	0	0	-2, 2, 1		1.0	-2.0	0	2	0.0	0.0	0.625	0.0
17	1	1/2	1/2	3/4	2	1	V				1.0		F	I		V	V							M	0	0	0, 4, 1		0.0	0.0	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
18	16	0	0	3/4	2	1	I|PAC}				2.0		F	V		I	I					PAC	}	M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.5	0.0
19	17	0	0	3/4	2	1	I.V2{						F	I		V2	V		2				{	Mm7	0	0	-2, 0, 4, 1		0.0	-2.0	1	3	0.25	0.125	0.375	0.25
19	17	1/4	1/4	3/4	2	1	I6						F	I		I6	I		6					M	0	0	3, 0, -1		-1.0	3.0	1	2	0.3333333333333333	0.125	0.5	0.2
19	17	1/2	1/2	3/4	2	1	I						F	I		I	I							M	0	0	-1, 3, 0		-1.0	-1.0	1	3	0.25	0.0625	0.3125	0.16666666666666666
20	18	0	0	3/4	2	1	V						F	I		V	V							M	0	0	0, 4, 1		0.0	0.0	2	4	0.3333333333333333	0.25	0.75	0.25
20	18	1/2	1/2	3/4	2	1	V2						F	I		V2	V		2					Mm7	0	0	-2, 0, 4, 1		0.0	-2.0	0	3	0.0	0.0	0.5	0.0
21	19	0	0	3/4	2	1	I6						F	I		I6	I		6					M	0	0	3, 0, -1		-1.0	3.0	1	3	0.25	0.125	0.375	0.25
21	19	1/4	1/4	3/4	2	1	ii6						F	I		ii6	ii		6					m	0	0	-2, 2, 1		1.0	-2.0	1	2	0.3333333333333333	0.125	0.5	0.2
21	19	1/2	1/2	3/4	2	1	V						F	I		V	V							M	0	0	0, 4, 1		0.0	0.0	2	2	0.5	0.1875	0.1875	0.5
22	20	0	0	3/4	2	1	I|IAC}						F	I		I	I					IAC	}	M	0	0	-1, 3, 0		-1.0	-1.0	1	3	0.25	0.125	1.125	0.1
22	20	1/2	1/2	3/4	2	1	vi						F	I		vi	vi							m	0	0	2, -1, 3		2.0	2.0	0	2	0.0	0.0	0.25	0.0
23	21	0	0	3/4	2	1	vi.V6{						F	vi		V6	V		6				{	M	0	1	7, 4, 3		3.0	7.0	2	2	0.5	0.25	0.25	0.5
23	21	1/4	1/4	3/4	2	1	#viio6						F	vi		#viio6	#vii	o	6					o	0	1	4, 1, 7		7.0	4.0	0	3	0.0	0.0	0.5	0.0
23	21	1/2	1/2	3/4	2	1	i6						F	vi		i6	i		6					m	0	1	-1, 3, 2		2.0	-1.0	0	3	0.0	0.0	0.5	0.0
24	22	0	0	3/4	2	1	V						F	vi		V	V							M	0	1	3, 7, 4		3.0	3.0	2	2	0.5	0.25	0.25	0.5
24	22	1/4	1/4	3/4	2	1	V6						F	vi		V6	V		6					M	0	1	7, 4, 3		3.0	7.0	0	3	0.0	0.0	0.5	0.0
24	22	1/2	1/2	3/4	2	1	i						F	vi		i	i							m	0	1	2, -1, 3		2.0	2.0	0	3	0.0	0.0	0.5	0.0
25	23	0	0	3/4	2	1	VI						F	vi		VI	VI							M	0	1	-2, 2, -1		-2.0	-2.0	1	2	0.3333333333333333	0.125	0.375	0.25
25	23	1/4	1/4	3/4	2	1	iio6					iv7	F	vi		iio6	ii	o	6					o	0	1	1, -2, 4		4.0	1.0	1	2	0.3333333333333333	0.125	0.375	0.25
25	23	1/2	1/2	3/4	2	1	V						F	vi		V	V							M	0	1	3, 7, 4		3.0	3.0	1	2	0.3333333333333333	0.125	0.375	0.25
26	24	0	0	3/4	2	1	i|PAC}						F	vi		i	i					PAC	}	m	0	1	2, -1, 3		2.0	2.0	2	5	0.2857142857142857	0.25	1.25	0.16666666666666666
27	25	0	0	3/4	2	1	I.V6/IV{						F	I		V6/IV	V		6		IV		{	M	0	0	3, 0, -1		-1.0	3.0	1	2	0.3333333333333333	0.125	0.375	0.25
27	25	1/4	1/4	3/4	2	1	V7/IV						F	I		V7/IV	V		7		IV			Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0	2	2	0.5	0.25	0.25	0.5
