mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
2	1	1/4	1/4	2/2	2	1		V2/IV				V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2	2	2	0.5	0.1875	0.1875	0.5
2	1	1/2	1/2	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3	3	0	1.0	0.5	0.0	1.0
2	1	3/4	3/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	3	0	1.0	0.5	0.0	1.0
3	2	0	0	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1	5	3	0.625	1.125	0.375	0.75
3	2	3/4	3/4	2/2	2	1		ii				ii	ii								m	2, -1, 3		2	2	3	0	1.0	0.5	0.0	1.0
4	3	0	0	2/2	2	1		viio				viio	vii	o							o	-2, -5, -8		-2	-2	3	0	1.0	0.625	0.0	1.0
4	3	1/4	1/4	2/2	2	1		ii64				ii64	ii		64						m	3, 2, -1		2	3	2	2	0.5	0.1875	0.1875	0.5
4	3	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	4	0	1.0	0.5	0.0	1.0
4	3	3/4	3/4	2/2	2	1		viio64				viio64	vii	o	64						o	-8, -2, -5		-2	-8	4	0	1.0	0.5	0.0	1.0
5	4	0	0	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4	5	1	0.8333333333333334	0.875	0.125	0.875
5	4	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	6	0	1.0	1.0	0.0	1.0
6	5	0	0	2/2	2	1		I				I	I								M	0, 4, 1		0	0	3	0	1.0	0.625	0.0	1.0
6	5	1/4	1/4	2/2	2	1		V2/IV				V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2	2	2	0.5	0.1875	0.1875	0.5
6	5	1/2	1/2	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3	3	0	1.0	0.5	0.0	1.0
6	5	3/4	3/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	3	0	1.0	0.5	0.0	1.0
7	6	0	0	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1	2	1	0.6666666666666666	0.375	0.125	0.75
7	6	1/4	1/4	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4	4	0	1.0	0.5	0.0	1.0
7	6	1/2	1/2	2/2	2	1		viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5	4	0	1.0	0.5	0.0	1.0
7	6	3/4	3/4	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4	3	1	0.75	0.375	0.125	0.75
8	7	0	0	2/2	2	1		viio64				viio64	vii	o	64						o	-8, -2, -5		-2	-8	4	0	1.0	0.5	0.0	1.0
8	7	1/4	1/4	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4	4	0	1.0	0.5	0.0	1.0
8	7	1/2	1/2	2/2	2	1		viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5	8	0	1.0	1.0	0.0	1.0
9	8	0	0	2/2	2	1	1	I6}				I6	I		6					}	M	4, 1, 0		0	4	4	1	0.8	0.875	0.125	0.875
10	8	0	0	2/2	2	1	2	I6}				I6	I		6					}	M	4, 1, 0		0	4	10	1	0.9090909090909091	1.875	0.125	0.9375
12	9	0	0	2/2	2	1		I				I	I								M	0, 4, 1		0	0	6	1	0.8571428571428571	0.9375	0.0625	0.9375
12	9	1/2	1/2	2/2	2	1		IV				IV	IV								M	-1, 3, 0		-1	-1	3	1	0.75	0.375	0.125	0.75
12	9	3/4	3/4	2/2	2	1		V64/IV				V64/IV	V		64		IV				M	1, 0, 4		0	1	3	1	0.75	0.375	0.125	0.75
13	10	0	0	2/2	2	1		I6/IV				I6/IV	I		6		IV				M	3, 0, -1		-1	3	3	0	1.0	0.5	0.0	1.0
13	10	1/4	1/4	2/2	2	1		V2/IV				V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2	2	1	0.6666666666666666	0.375	0.125	0.75
13	10	1/2	1/2	2/2	2	1		I6/IV				I6/IV	I		6		IV				M	3, 0, -1		-1	3	3	0	1.0	0.5	0.0	1.0
13	10	3/4	3/4	2/2	2	1		V64/IV				V64/IV	V		64		IV				M	1, 0, 4		0	1	3	0	1.0	0.5	0.0	1.0
14	11	0	0	2/2	2	1		I/IV				I/IV	I				IV				M	-1, 3, 0		-1	-1	3	1	0.75	0.375	0.125	0.75
14	11	1/4	1/4	2/2	2	1		V43/IV				V43/IV	V		43		IV				Mm7	1, -2, 0, 4		0	1	4	0	1.0	0.5	0.0	1.0
14	11	1/2	1/2	2/2	2	1		I6/IV				I6/IV	I		6		IV				M	3, 0, -1		-1	3	4	0	1.0	0.5	0.0	1.0
14	11	3/4	3/4	2/2	2	1		V2/IV				V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2	2	2	0.5	0.25	0.25	0.5
15	12	0	0	2/2	2	1		I6/IV				I6/IV	I		6		IV				M	3, 0, -1		-1	3	4	1	0.8	0.875	0.125	0.875
15	12	1/2	1/2	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1	6	3	0.6666666666666666	1.25	0.375	0.7692307692307693
16	13	1/4	1/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	3	0	1.0	0.375	0.0	1.0
16	13	1/2	1/2	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3	3	1	0.75	0.375	0.125	0.75
16	13	3/4	3/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	3	1	0.75	0.375	0.125	0.75
17	14	0	0	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1	2	2	0.5	0.25	0.25	0.5
17	14	1/4	1/4	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3	4	0	1.0	0.5	0.0	1.0
17	14	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	3	1	0.75	0.375	0.125	0.75
17	14	3/4	3/4	2/2	2	1		IV				IV	IV								M	-1, 3, 0		-1	-1	4	0	1.0	0.5	0.0	1.0
18	15	0	0	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4	3	1	0.75	0.375	0.125	0.75
18	15	1/4	1/4	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1	3	1	0.75	0.375	0.125	0.75
18	15	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	6	0	1.0	0.5	0.0	1.0
18	15	3/4	3/4	2/2	2	1		vi7				vi7	vi		7						mm7	-4, -7, -3, -6		-4	-4	6	0	1.0	0.5	0.0	1.0
19	16	0	0	2/2	2	1		viio				viio	vii	o							o	-2, -5, -8		-2	-2	5	0	1.0	1.0	0.0	1.0
19	16	1/2	1/2	2/2	2	1		I				I	I								M	0, 4, 1		0	0	9	0	1.0	1.625	0.0	1.0
20	17	1/4	1/4	2/2	2	1		V2/IV				V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2	2	2	0.5	0.1875	0.1875	0.5
20	17	1/2	1/2	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3	3	0	1.0	0.5	0.0	1.0
20	17	3/4	3/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	3	0	1.0	0.5	0.0	1.0
21	18	0	0	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1	5	3	0.625	1.125	0.375	0.75
21	18	3/4	3/4	2/2	2	1		ii				ii	ii								m	2, -1, 3		2	2	3	0	1.0	0.5	0.0	1.0
22	19	0	0	2/2	2	1		viio				viio	vii	o							o	-2, -5, -8		-2	-2	3	0	1.0	0.625	0.0	1.0
22	19	1/4	1/4	2/2	2	1		ii64				ii64	ii		64						m	3, 2, -1		2	3	2	2	0.5	0.1875	0.1875	0.5
22	19	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	4	0	1.0	0.5	0.0	1.0
22	19	3/4	3/4	2/2	2	1		viio64				viio64	vii	o	64						o	-8, -2, -5		-2	-8	4	0	1.0	0.5	0.0	1.0
23	20	0	0	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4	6	2	0.75	0.75	0.25	0.75
23	20	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	6	0	1.0	1.0	0.0	1.0
24	21	0	0	2/2	2	1		I				I	I								M	0, 4, 1		0	0	6	1	0.8571428571428571	0.9375	0.0625	0.9375
24	21	1/2	1/2	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3	4	0	1.0	0.5	0.0	1.0
24	21	3/4	3/4	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4	3	1	0.75	0.375	0.125	0.75
25	22	0	0	2/2	2	1		viio/V				viio/V	vii	o			V				o	6, 3, 0		6	6	3	1	0.75	0.375	0.125	0.75
25	22	1/4	1/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1	4	0	1.0	0.5	0.0	1.0
25	22	1/2	1/2	2/2	2	1		viio6/V				viio6/V	vii	o	6		V				o	3, 0, 6		6	3	3	1	0.75	0.375	0.125	0.75
25	22	3/4	3/4	2/2	2	1		viio64/V				viio64/V	vii	o	64		V				o	0, 6, 3		6	0	4	0	1.0	0.5	0.0	1.0
26	23	0	0	2/2	2	1		vi64/V				vi64/V	vi		64		V				m	5, 4, 1		4	5	4	0	1.0	0.5	0.0	1.0
26	23	1/4	1/4	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3	4	0	1.0	0.5	0.0	1.0
26	23	1/2	1/2	2/2	2	1		V				V	V								M	1, 5, 2		1	1	2	2	0.5	0.25	0.25	0.5
26	23	3/4	3/4	2/2	2	1		V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1	2	2	0.5	0.25	0.25	0.5
27	24	0	0	2/2	2	1	1	I6}				I6	I		6					}	M	4, 1, 0		0	4	4	1	0.8	0.875	0.125	0.875
28	24	0	0	2/2	2	1	2	I]}				I	I					]		}	M	0, 4, 1		0	0	3	0	1.0	1.5	0.0	1.0
