path	filename	extension	md5	label_count	KeySig	TimeSig	musescore
MS3/BWV811_03_Courante.mscx	BWV811_03_Courante	.mscx	00065e9bf14faaa16b30d13093fab1a5	174	-1	3/2	3.4.2
MS3/BWV811_04_Sarabande.mscx	BWV811_04_Sarabande	.mscx	c2eae6f92632de1a970246c7081ea68e	58	-1	3/2	3.4.2
MS3/BWV811_05_Double.mscx	BWV811_05_Double	.mscx	1ca7def44f5b4319d218beac61f72345	68	-1	3/2	3.4.2
MS3/BWV811_06_Gavotte_I.mscx	BWV811_06_Gavotte_I	.mscx	aa9b0de8a6cf8cec050df8156908b5be	108	-1	2/2	3.4.2
MS3/BWV811_07_Gavotte_II.mscx	BWV811_07_Gavotte_II	.mscx	4110f70b07c68d8946d231f490b75abd	71	2	2/2	3.4.2
MS3/BWV811_08_Gigue.mscx	BWV811_08_Gigue	.mscx	b8f51457fe019b0b2158da5d51d368bc	241	-1	12/16	3.4.2
MS3/BWV812_01_Allemande.mscx	BWV812_01_Allemande	.mscx	8c380f9dcef7b19e73bb877afea9d988	158	-1	4/4	3.4.2
MS3/BWV812_02_Courante.mscx	BWV812_02_Courante	.mscx	addf0acb44b46c57ac22af1dad141155	132		3/2	3.4.2
MS3/BWV812_03_Sarabande.mscx	BWV812_03_Sarabande	.mscx	4d556c305e14e6dfebc448a47d4fdd6b	78	-1	3/4	3.4.2
MS3/BWV812_04_Menuett_I.mscx	BWV812_04_Menuett_I	.mscx	dca5838df45713cd7feee34a448bebd3	82	-1	3/4	3.4.2
MS3/BWV812_05_Menuett_II.mscx	BWV812_05_Menuett_II	.mscx	9320444fafb00827e7e8e5e7f1b358d6	126	-1	3/4	3.4.2
MS3/BWV812_06_Gigue.mscx	BWV812_06_Gigue	.mscx	88736b3ce0c1069762875267d760f339	177	-1	4/4	3.4.2
MS3/BWV813_01_Allemande.mscx	BWV813_01_Allemande	.mscx	52806d3a57fb8fb81d1e15bf25303c0b	129	-2	4/4, 4/4, 4/4	3.4.2
MS3/BWV813_02_Courante.mscx	BWV813_02_Courante	.mscx	23b4de359c649baa2c73484e071e8b26	170	-2	3/4	3.4.2
MS3/BWV813_03_Sarabande.mscx	BWV813_03_Sarabande	.mscx	789b5dec88be34c8f3d87d13c0826bdd	106	-2	3/4	3.4.2
MS3/BWV813_04_Air.mscx	BWV813_04_Air	.mscx	cbf3086f736e54dfa61dd1310c9d1745	103	-2	4/4	3.4.2
MS3/BWV813_05_Menuett.mscx	BWV813_05_Menuett	.mscx	b7502ad9d8ae6be6f11f86ccc99931fb	73	-2	3/4	3.4.2
MS3/BWV813_06_Gigue.mscx	BWV813_06_Gigue	.mscx	d32d487dac2b7da1bc91f0109ca62113	135	-2	3/8	3.4.2
MS3/BWV814_01_Allemande.mscx	BWV814_01_Allemande	.mscx	0eda8d6c68848d90883ce50ef22d8de6	173	2	4/4	3.4.2
MS3/BWV814_02_Courante.mscx	BWV814_02_Courante	.mscx	e1745ebe59faf1b31f14a1b9ff0678d7	147		6/4	3.4.2
MS3/BWV814_03_Sarabande.mscx	BWV814_03_Sarabande	.mscx	7d2e13ae4615036db24cf4e12e925ef8	89	2	3/4	3.4.2
MS3/BWV814_04_Gavotte.mscx	BWV814_04_Gavotte	.mscx	22b11f5198b2abd9ab20a48805a0508b	116	2	2/2	3.4.2
MS3/BWV814_05_Menuett.mscx	BWV814_05_Menuett	.mscx	1802813bbe3c9e711c0d98ccf596a831	101	2	3/4	3.4.2
MS3/BWV814_06_Trio.mscx	BWV814_06_Trio	.mscx	45893a1e76df8dee28f0def56cfaf013	70	2	3/4	3.4.2
MS3/BWV814_07_Gigue.mscx	BWV814_07_Gigue	.mscx	0bdfffed622a2c45304a2238325a8543	182	2	3/8	3.4.2
MS3/BWV815_01_Allemande.mscx	BWV815_01_Allemande	.mscx	db964eb47f109a08d96938ce0834022c	120	-3	4/4	3.4.2
MS3/BWV815_02_Courante.mscx	BWV815_02_Courante	.mscx	df0d050464753a4849d8f8519a56347a	134	-3	3/4	3.4.2
MS3/BWV815_03_Sarabande.mscx	BWV815_03_Sarabande	.mscx	1534eef3471f9e0cdb4daea9a925fce4	89	-3	3/4	3.4.2
MS3/BWV815_04_Gavotte.mscx	BWV815_04_Gavotte	.mscx	e5475c03c5c0494dc682e378f108612d	92	-3	2/2	3.4.2
MS3/BWV815_05_Air.mscx	BWV815_05_Air	.mscx	70e4c366fa9f268aeeb8b002c9ba3593	105	-3	4/4	3.4.2
MS3/BWV815_06_Menuett.mscx	BWV815_06_Menuett	.mscx	d93dd9c0b5da34a3fa8ea7b96634a01d	48	-3	3/4	3.4.2
MS3/BWV815_07_Gigue.mscx	BWV815_07_Gigue	.mscx	91b245b860325eea40f35ba8377bd19b	127	-3	6/8	3.4.2
MS3/BWV816_01_Allemande.mscx	BWV816_01_Allemande	.mscx	54c2808c97fa89a3a661461ea9d6d621	158	1	4/4	3.4.2
MS3/BWV816_02_Courante.mscx	BWV816_02_Courante	.mscx	18b8b2a85f4ca2fb02b37a8b5e7dd931	187	1	3/4	3.4.2
MS3/BWV816_03_Sarabande.mscx	BWV816_03_Sarabande	.mscx	d3fa89b322a09d7f981a4e0f82177b61	131	1	3/4	3.4.2
MS3/BWV816_04_Gavotte.mscx	BWV816_04_Gavotte	.mscx	98130ead81b79f8a63aa8bbea727e43b	88	1	2/2	3.4.2
MS3/BWV816_05_Bourrée.mscx	BWV816_05_Bourrée	.mscx	2ab4973648ce9c6133fddb61c65315c6	108	1	2/2	3.4.2
MS3/BWV816_06_Loure.mscx	BWV816_06_Loure	.mscx	d33a83516476b329e63b3e82dea3460a	75	1	6/4	3.4.2
MS3/BWV816_07_Gigue.mscx	BWV816_07_Gigue	.mscx	853984c0d81c0173186cb11394fd9340	160	1	12/16	3.4.2
MS3/BWV817_01_Allemande.mscx	BWV817_01_Allemande	.mscx	bcd9aa501ce29c81a5c3c31b7ea02a9c	206	4	4/4, 4/4, 4/4	3.4.2
MS3/BWV817_02_Courante.mscx	BWV817_02_Courante	.mscx	f5e009a9a4532317582669c0d4c97585	125	4	3/4	3.4.2
MS3/BWV817_03_Sarabande.mscx	BWV817_03_Sarabande	.mscx	8cdb932cdf2d8a8a8e85e1a7b9b1111b	79	4	3/4	3.4.2
MS3/BWV817_04_Gavotte.mscx	BWV817_04_Gavotte	.mscx	7798daba083b6ab1da01d46fcb94b9da	69	4	2/2	3.4.2
MS3/BWV817_05_Polonaise.mscx	BWV817_05_Polonaise	.mscx	134bfac94b15015dfb2ab5d2fb2df781	78	4	3/4	3.4.2
MS3/BWV817_06_Bourrée.mscx	BWV817_06_Bourrée	.mscx	c2b4d4a507cb44f4eb656fe8003bef4f	139	4	2/2	3.4.2
MS3/BWV817_07_Gigue.mscx	BWV817_07_Gigue	.mscx	ba3a0c6f674070535aea13237060db3d	131	4	6/8	3.4.2
MS3/BWV817_08_Menuett.mscx	BWV817_08_Menuett	.mscx	22237cb364c0285825b7afad7ff0d1a4	68	4	3/4	3.4.2
